copy_id,book_id,copy_number,location,rack,shelf,status
CP00001,BK001,copy1,L1,L1R01,L1R01S1,Available
CP00002,BK001,copy2,L1,L1R01,L1R01S1,Available
CP00003,BK001,copy3,L1,L1R01,L1R01S1,Available
CP00004,BK001,copy4,L1,L1R01,L1R01S1,Available
CP00005,BK001,copy5,L1,L1R01,L1R01S1,Available
CP00006,BK001,copy6,L1,L1R01,L1R01S1,Available
CP00007,BK001,copy7,L1,L1R01,L1R01S1,Available
CP00008,BK001,copy8,L1,L1R01,L1R01S1,Available
CP00009,BK001,copy9,L1,L1R01,L1R01S1,Available
CP00010,BK001,copy10,L1,L1R01,L1R01S1,Available
CP00011,BK001,copy11,L1,L1R01,L1R01S1,Available
CP00012,BK001,copy12,L1,L1R01,L1R01S1,Available
CP00013,BK001,copy13,L1,L1R01,L1R01S1,Available
CP00014,BK001,copy14,L1,L1R01,L1R01S1,Available
CP00015,BK001,copy15,L1,L1R01,L1R01S1,Available
CP00016,BK001,copy16,L1,L1R01,L1R01S1,Available
CP00017,BK001,copy17,L1,L1R01,L1R01S1,Available
CP00018,BK001,copy18,L1,L1R01,L1R01S1,Available
CP00019,BK001,copy19,L1,L1R01,L1R01S1,Available
CP00020,BK001,copy20,L1,L1R01,L1R01S1,Available
CP00021,BK001,copy21,L1,L1R01,L1R01S1,Available
CP00022,BK001,copy22,L1,L1R01,L1R01S1,Available
CP00023,BK001,copy23,L1,L1R01,L1R01S1,Available
CP00024,BK001,copy24,L1,L1R01,L1R01S1,Available
CP00025,BK001,copy25,L1,L1R01,L1R01S1,Available
CP00026,BK001,copy26,L1,L1R01,L1R01S1,Available
CP00027,BK001,copy27,L1,L1R01,L1R01S1,Available
CP00028,BK001,copy28,L1,L1R01,L1R01S1,Available
CP00029,BK001,copy29,L1,L1R01,L1R01S1,Available
CP00030,BK001,copy30,L1,L1R01,L1R01S1,Available
CP00031,BK002,copy1,L1,L1R01,L1R01S2,Available
CP00032,BK002,copy2,L1,L1R01,L1R01S2,Available
CP00033,BK002,copy3,L1,L1R01,L1R01S2,Available
CP00034,BK002,copy4,L1,L1R01,L1R01S2,Available
CP00035,BK002,copy5,L1,L1R01,L1R01S2,Available
CP00036,BK002,copy6,L1,L1R01,L1R01S2,Available
CP00037,BK002,copy7,L1,L1R01,L1R01S2,Available
CP00038,BK002,copy8,L1,L1R01,L1R01S2,Available
CP00039,BK002,copy9,L1,L1R01,L1R01S2,Available
CP00040,BK002,copy10,L1,L1R01,L1R01S2,Available
CP00041,BK002,copy11,L1,L1R01,L1R01S2,Available
CP00042,BK002,copy12,L1,L1R01,L1R01S2,Available
CP00043,BK002,copy13,L1,L1R01,L1R01S2,Available
CP00044,BK002,copy14,L1,L1R01,L1R01S2,Available
CP00045,BK002,copy15,L1,L1R01,L1R01S2,Available
CP00046,BK002,copy16,L1,L1R01,L1R01S2,Available
CP00047,BK002,copy17,L1,L1R01,L1R01S2,Available
CP00048,BK002,copy18,L1,L1R01,L1R01S2,Available
CP00049,BK002,copy19,L1,L1R01,L1R01S2,Available
CP00050,BK002,copy20,L1,L1R01,L1R01S2,Available
CP00051,BK002,copy21,L1,L1R01,L1R01S2,Available
CP00052,BK002,copy22,L1,L1R01,L1R01S2,Available
CP00053,BK002,copy23,L1,L1R01,L1R01S2,Available
CP00054,BK002,copy24,L1,L1R01,L1R01S2,Available
CP00055,BK002,copy25,L1,L1R01,L1R01S2,Available
CP00056,BK002,copy26,L1,L1R01,L1R01S2,Available
CP00057,BK002,copy27,L1,L1R01,L1R01S2,Available
CP00058,BK002,copy28,L1,L1R01,L1R01S2,Available
CP00059,BK002,copy29,L1,L1R01,L1R01S2,Available
CP00060,BK002,copy30,L1,L1R01,L1R01S2,Available
CP00061,BK003,copy1,L1,L1R01,L1R01S3,Available
CP00062,BK003,copy2,L1,L1R01,L1R01S3,Available
CP00063,BK003,copy3,L1,L1R01,L1R01S3,Available
CP00064,BK003,copy4,L1,L1R01,L1R01S3,Available
CP00065,BK003,copy5,L1,L1R01,L1R01S3,Available
CP00066,BK003,copy6,L1,L1R01,L1R01S3,Available
CP00067,BK003,copy7,L1,L1R01,L1R01S3,Available
CP00068,BK003,copy8,L1,L1R01,L1R01S3,Available
CP00069,BK003,copy9,L1,L1R01,L1R01S3,Available
CP00070,BK003,copy10,L1,L1R01,L1R01S3,Available
CP00071,BK003,copy11,L1,L1R01,L1R01S3,Available
CP00072,BK003,copy12,L1,L1R01,L1R01S3,Available
CP00073,BK003,copy13,L1,L1R01,L1R01S3,Available
CP00074,BK003,copy14,L1,L1R01,L1R01S3,Available
CP00075,BK003,copy15,L1,L1R01,L1R01S3,Available
CP00076,BK003,copy16,L1,L1R01,L1R01S3,Available
CP00077,BK003,copy17,L1,L1R01,L1R01S3,Available
CP00078,BK003,copy18,L1,L1R01,L1R01S3,Available
CP00079,BK003,copy19,L1,L1R01,L1R01S3,Available
CP00080,BK003,copy20,L1,L1R01,L1R01S3,Available
CP00081,BK003,copy21,L1,L1R01,L1R01S3,Available
CP00082,BK003,copy22,L1,L1R01,L1R01S3,Available
CP00083,BK003,copy23,L1,L1R01,L1R01S3,Available
CP00084,BK003,copy24,L1,L1R01,L1R01S3,Available
CP00085,BK003,copy25,L1,L1R01,L1R01S3,Available
CP00086,BK003,copy26,L1,L1R01,L1R01S3,Available
CP00087,BK003,copy27,L1,L1R01,L1R01S3,Available
CP00088,BK003,copy28,L1,L1R01,L1R01S3,Available
CP00089,BK003,copy29,L1,L1R01,L1R01S3,Available
CP00090,BK003,copy30,L1,L1R01,L1R01S3,Available
CP00091,BK004,copy1,L1,L1R01,L1R01S4,Available
CP00092,BK004,copy2,L1,L1R01,L1R01S4,Available
CP00093,BK004,copy3,L1,L1R01,L1R01S4,Available
CP00094,BK004,copy4,L1,L1R01,L1R01S4,Available
CP00095,BK004,copy5,L1,L1R01,L1R01S4,Available
CP00096,BK004,copy6,L1,L1R01,L1R01S4,Available
CP00097,BK004,copy7,L1,L1R01,L1R01S4,Available
CP00098,BK004,copy8,L1,L1R01,L1R01S4,Available
CP00099,BK004,copy9,L1,L1R01,L1R01S4,Available
CP00100,BK004,copy10,L1,L1R01,L1R01S4,Available
CP00101,BK004,copy11,L1,L1R01,L1R01S4,Available
CP00102,BK004,copy12,L1,L1R01,L1R01S4,Available
CP00103,BK004,copy13,L1,L1R01,L1R01S4,Available
CP00104,BK004,copy14,L1,L1R01,L1R01S4,Available
CP00105,BK004,copy15,L1,L1R01,L1R01S4,Available
CP00106,BK004,copy16,L1,L1R01,L1R01S4,Available
CP00107,BK004,copy17,L1,L1R01,L1R01S4,Available
CP00108,BK004,copy18,L1,L1R01,L1R01S4,Available
CP00109,BK004,copy19,L1,L1R01,L1R01S4,Available
CP00110,BK004,copy20,L1,L1R01,L1R01S4,Available
CP00111,BK004,copy21,L1,L1R01,L1R01S4,Available
CP00112,BK004,copy22,L1,L1R01,L1R01S4,Available
CP00113,BK004,copy23,L1,L1R01,L1R01S4,Available
CP00114,BK004,copy24,L1,L1R01,L1R01S4,Available
CP00115,BK004,copy25,L1,L1R01,L1R01S4,Available
CP00116,BK004,copy26,L1,L1R01,L1R01S4,Available
CP00117,BK004,copy27,L1,L1R01,L1R01S4,Available
CP00118,BK004,copy28,L1,L1R01,L1R01S4,Available
CP00119,BK004,copy29,L1,L1R01,L1R01S4,Available
CP00120,BK004,copy30,L1,L1R01,L1R01S4,Available
CP00121,BK005,copy1,L1,L1R01,L1R01S5,Available
CP00122,BK005,copy2,L1,L1R01,L1R01S5,Available
CP00123,BK005,copy3,L1,L1R01,L1R01S5,Available
CP00124,BK005,copy4,L1,L1R01,L1R01S5,Available
CP00125,BK005,copy5,L1,L1R01,L1R01S5,Available
CP00126,BK005,copy6,L1,L1R01,L1R01S5,Available
CP00127,BK005,copy7,L1,L1R01,L1R01S5,Available
CP00128,BK005,copy8,L1,L1R01,L1R01S5,Available
CP00129,BK005,copy9,L1,L1R01,L1R01S5,Available
CP00130,BK005,copy10,L1,L1R01,L1R01S5,Available
CP00131,BK005,copy11,L1,L1R01,L1R01S5,Available
CP00132,BK005,copy12,L1,L1R01,L1R01S5,Available
CP00133,BK005,copy13,L1,L1R01,L1R01S5,Available
CP00134,BK005,copy14,L1,L1R01,L1R01S5,Available
CP00135,BK005,copy15,L1,L1R01,L1R01S5,Available
CP00136,BK005,copy16,L1,L1R01,L1R01S5,Available
CP00137,BK005,copy17,L1,L1R01,L1R01S5,Available
CP00138,BK005,copy18,L1,L1R01,L1R01S5,Available
CP00139,BK005,copy19,L1,L1R01,L1R01S5,Available
CP00140,BK005,copy20,L1,L1R01,L1R01S5,Available
CP00141,BK005,copy21,L1,L1R01,L1R01S5,Available
CP00142,BK005,copy22,L1,L1R01,L1R01S5,Available
CP00143,BK005,copy23,L1,L1R01,L1R01S5,Available
CP00144,BK005,copy24,L1,L1R01,L1R01S5,Available
CP00145,BK005,copy25,L1,L1R01,L1R01S5,Available
CP00146,BK005,copy26,L1,L1R01,L1R01S5,Available
CP00147,BK005,copy27,L1,L1R01,L1R01S5,Available
CP00148,BK005,copy28,L1,L1R01,L1R01S5,Available
CP00149,BK005,copy29,L1,L1R01,L1R01S5,Available
CP00150,BK005,copy30,L1,L1R01,L1R01S5,Available
CP00151,BK006,copy1,L1,L1R01,L1R01S6,Available
CP00152,BK006,copy2,L1,L1R01,L1R01S6,Available
CP00153,BK006,copy3,L1,L1R01,L1R01S6,Available
CP00154,BK006,copy4,L1,L1R01,L1R01S6,Available
CP00155,BK006,copy5,L1,L1R01,L1R01S6,Available
CP00156,BK006,copy6,L1,L1R01,L1R01S6,Available
CP00157,BK006,copy7,L1,L1R01,L1R01S6,Available
CP00158,BK006,copy8,L1,L1R01,L1R01S6,Available
CP00159,BK006,copy9,L1,L1R01,L1R01S6,Available
CP00160,BK006,copy10,L1,L1R01,L1R01S6,Available
CP00161,BK006,copy11,L1,L1R01,L1R01S6,Available
CP00162,BK006,copy12,L1,L1R01,L1R01S6,Available
CP00163,BK006,copy13,L1,L1R01,L1R01S6,Available
CP00164,BK006,copy14,L1,L1R01,L1R01S6,Available
CP00165,BK006,copy15,L1,L1R01,L1R01S6,Available
CP00166,BK006,copy16,L1,L1R01,L1R01S6,Available
CP00167,BK006,copy17,L1,L1R01,L1R01S6,Available
CP00168,BK006,copy18,L1,L1R01,L1R01S6,Available
CP00169,BK006,copy19,L1,L1R01,L1R01S6,Available
CP00170,BK006,copy20,L1,L1R01,L1R01S6,Available
CP00171,BK006,copy21,L1,L1R01,L1R01S6,Available
CP00172,BK006,copy22,L1,L1R01,L1R01S6,Available
CP00173,BK006,copy23,L1,L1R01,L1R01S6,Available
CP00174,BK006,copy24,L1,L1R01,L1R01S6,Available
CP00175,BK006,copy25,L1,L1R01,L1R01S6,Available
CP00176,BK006,copy26,L1,L1R01,L1R01S6,Available
CP00177,BK006,copy27,L1,L1R01,L1R01S6,Available
CP00178,BK006,copy28,L1,L1R01,L1R01S6,Available
CP00179,BK006,copy29,L1,L1R01,L1R01S6,Available
CP00180,BK006,copy30,L1,L1R01,L1R01S6,Available
CP00181,BK007,copy1,L1,L1R02,L1R02S1,Available
CP00182,BK007,copy2,L1,L1R02,L1R02S1,Available
CP00183,BK007,copy3,L1,L1R02,L1R02S1,Available
CP00184,BK007,copy4,L1,L1R02,L1R02S1,Available
CP00185,BK007,copy5,L1,L1R02,L1R02S1,Available
CP00186,BK007,copy6,L1,L1R02,L1R02S1,Available
CP00187,BK007,copy7,L1,L1R02,L1R02S1,Available
CP00188,BK007,copy8,L1,L1R02,L1R02S1,Available
CP00189,BK007,copy9,L1,L1R02,L1R02S1,Available
CP00190,BK007,copy10,L1,L1R02,L1R02S1,Available
CP00191,BK007,copy11,L1,L1R02,L1R02S1,Available
CP00192,BK007,copy12,L1,L1R02,L1R02S1,Available
CP00193,BK007,copy13,L1,L1R02,L1R02S1,Available
CP00194,BK007,copy14,L1,L1R02,L1R02S1,Available
CP00195,BK007,copy15,L1,L1R02,L1R02S1,Available
CP00196,BK007,copy16,L1,L1R02,L1R02S1,Available
CP00197,BK007,copy17,L1,L1R02,L1R02S1,Available
CP00198,BK007,copy18,L1,L1R02,L1R02S1,Available
CP00199,BK007,copy19,L1,L1R02,L1R02S1,Available
CP00200,BK007,copy20,L1,L1R02,L1R02S1,Available
CP00201,BK007,copy21,L1,L1R02,L1R02S1,Available
CP00202,BK007,copy22,L1,L1R02,L1R02S1,Available
CP00203,BK007,copy23,L1,L1R02,L1R02S1,Available
CP00204,BK007,copy24,L1,L1R02,L1R02S1,Available
CP00205,BK007,copy25,L1,L1R02,L1R02S1,Available
CP00206,BK007,copy26,L1,L1R02,L1R02S1,Available
CP00207,BK007,copy27,L1,L1R02,L1R02S1,Available
CP00208,BK007,copy28,L1,L1R02,L1R02S1,Available
CP00209,BK007,copy29,L1,L1R02,L1R02S1,Available
CP00210,BK007,copy30,L1,L1R02,L1R02S1,Available
CP00211,BK008,copy1,L1,L1R02,L1R02S2,Available
CP00212,BK008,copy2,L1,L1R02,L1R02S2,Available
CP00213,BK008,copy3,L1,L1R02,L1R02S2,Available
CP00214,BK008,copy4,L1,L1R02,L1R02S2,Available
CP00215,BK008,copy5,L1,L1R02,L1R02S2,Available
CP00216,BK008,copy6,L1,L1R02,L1R02S2,Available
CP00217,BK008,copy7,L1,L1R02,L1R02S2,Available
CP00218,BK008,copy8,L1,L1R02,L1R02S2,Available
CP00219,BK008,copy9,L1,L1R02,L1R02S2,Available
CP00220,BK008,copy10,L1,L1R02,L1R02S2,Available
CP00221,BK008,copy11,L1,L1R02,L1R02S2,Available
CP00222,BK008,copy12,L1,L1R02,L1R02S2,Available
CP00223,BK008,copy13,L1,L1R02,L1R02S2,Available
CP00224,BK008,copy14,L1,L1R02,L1R02S2,Available
CP00225,BK008,copy15,L1,L1R02,L1R02S2,Available
CP00226,BK008,copy16,L1,L1R02,L1R02S2,Available
CP00227,BK008,copy17,L1,L1R02,L1R02S2,Available
CP00228,BK008,copy18,L1,L1R02,L1R02S2,Available
CP00229,BK008,copy19,L1,L1R02,L1R02S2,Available
CP00230,BK008,copy20,L1,L1R02,L1R02S2,Available
CP00231,BK008,copy21,L1,L1R02,L1R02S2,Available
CP00232,BK008,copy22,L1,L1R02,L1R02S2,Available
CP00233,BK008,copy23,L1,L1R02,L1R02S2,Available
CP00234,BK008,copy24,L1,L1R02,L1R02S2,Available
CP00235,BK008,copy25,L1,L1R02,L1R02S2,Available
CP00236,BK008,copy26,L1,L1R02,L1R02S2,Available
CP00237,BK008,copy27,L1,L1R02,L1R02S2,Available
CP00238,BK008,copy28,L1,L1R02,L1R02S2,Available
CP00239,BK008,copy29,L1,L1R02,L1R02S2,Available
CP00240,BK008,copy30,L1,L1R02,L1R02S2,Available
CP00241,BK009,copy1,L1,L1R02,L1R02S3,Available
CP00242,BK009,copy2,L1,L1R02,L1R02S3,Available
CP00243,BK009,copy3,L1,L1R02,L1R02S3,Available
CP00244,BK009,copy4,L1,L1R02,L1R02S3,Available
CP00245,BK009,copy5,L1,L1R02,L1R02S3,Available
CP00246,BK009,copy6,L1,L1R02,L1R02S3,Available
CP00247,BK009,copy7,L1,L1R02,L1R02S3,Available
CP00248,BK009,copy8,L1,L1R02,L1R02S3,Available
CP00249,BK009,copy9,L1,L1R02,L1R02S3,Available
CP00250,BK009,copy10,L1,L1R02,L1R02S3,Available
CP00251,BK009,copy11,L1,L1R02,L1R02S3,Available
CP00252,BK009,copy12,L1,L1R02,L1R02S3,Available
CP00253,BK009,copy13,L1,L1R02,L1R02S3,Available
CP00254,BK009,copy14,L1,L1R02,L1R02S3,Available
CP00255,BK009,copy15,L1,L1R02,L1R02S3,Available
CP00256,BK009,copy16,L1,L1R02,L1R02S3,Available
CP00257,BK009,copy17,L1,L1R02,L1R02S3,Available
CP00258,BK009,copy18,L1,L1R02,L1R02S3,Available
CP00259,BK009,copy19,L1,L1R02,L1R02S3,Available
CP00260,BK009,copy20,L1,L1R02,L1R02S3,Available
CP00261,BK009,copy21,L1,L1R02,L1R02S3,Available
CP00262,BK009,copy22,L1,L1R02,L1R02S3,Available
CP00263,BK009,copy23,L1,L1R02,L1R02S3,Available
CP00264,BK009,copy24,L1,L1R02,L1R02S3,Available
