transaction_id,student_id,issue_date,due_date,return_date,book_id,copy_id,fine_amount,initial_status,final_status,payment_status,payment_date,year,quarter
TS_0002,S17CS147,19-08-2020,26-08-2020,02-10-2020,bk083,CP02467,370,good,good,Paid,02-10-2020 00:00,2020,3
TS_0004,S20CS156,09-08-2020,16-08-2020,29-09-2020,BK009,CP00244,440,good,good,Paid,29-09-2020 00:00,2020,3
TS_0005,S18CS105,01-09-2020,08-09-2020,07-09-2020,BK004,CP00095,0,good,good,Not Available,,2020,3
TS_0006,S19EE020,22-07-2020,29-07-2020,27-07-2020,BK612,CP18335,0,good,good,Not Available,,2020,3
TS_0011,S17EE009,19-07-2020,26-07-2020,22-07-2020,BK505,CP15125,0,good,good,Not Available,,2020,3
TS_0016,S19EC064,09-08-2020,16-08-2020,09-08-2020,BK335,CP10044,0,good,good,Not Available,,2020,3
TS_0017,S18ME027,29-08-2020,05-09-2020,03-09-2020,BK867,CP26008,0,good,good,Not Available,,2020,3
TS_0019,S20EC018,07-08-2020,14-08-2020,20-09-2020,BK454,CP13592,370,good,good,Paid,20-09-2020 00:00,2020,3
TS_0021,S18EC052,31-07-2020,07-08-2020,03-08-2020,BK397,CP11886,0,good,good,Not Available,,2020,3
TS_0022,S20IT054,15-08-2020,22-08-2020,13-10-2020,BK656,CP19668,520,good,good,Paid,13-10-2020 00:00,2020,3
TS_0031,S18CV012,20-07-2020,27-07-2020,21-07-2020,BK304,CP09092,0,good,good,Not Available,,2020,3
TS_0038,S20IT062,27-09-2020,04-10-2020,27-09-2020,BK720,CP21572,0,good,good,Not Available,,2020,3
TS_0041,S19CS073,01-09-2020,08-09-2020,04-09-2020,BK019,CP00566,0,good,good,Not Available,,2020,3
TS_0046,S20ME059,26-09-2020,03-10-2020,30-09-2020,BK822,CP24631,0,good,good,Not Available,,2020,3
TS_0053,S18EC063,27-08-2020,03-09-2020,28-08-2020,BK457,CP13693,0,good,good,Not Available,,2020,3
TS_0062,S19CS001,10-09-2020,17-09-2020,16-09-2020,BK044,CP01315,0,good,good,Not Available,,2020,3
